added	deleted	path
4	3	AGENTS.md
10	10	docs/planning/prototype-v3/20-Codex交接提示词-20260912.md
2	0	docs/planning/prototype-v3/21-M2b-2前端切领域API-20260912.md
6	6	docs/planning/prototype-v3/23-Codex防走偏协议-20260912.md
102	0	docs/planning/prototype-v3/24-M2b-2验收收尾-20260912.md
4	3	docs/planning/prototype-v3/README.md
7	3	output/pfc-workbench-prototype/README.md
3	1	output/pfc-workbench-prototype/original/app.js
1	1	output/pfc-workbench-prototype/original/domain-client.js
1	0	output/pfc-workbench-prototype/original/model.js
2	0	output/pfc-workbench-prototype/original/run-actions.js
7	7	output/pfc-workbench-prototype/original/workbench.js
11	0	output/pfc-workbench-prototype/verify-m2b2-model.mjs
4	1	server/src/domain/service.js
6	3	server/src/ws.js
9	0	server/verify-m2b2-domain.mjs
69	0	docs/quality-gate/reports/m2b2-acceptance-20260912.md
105	0	docs/quality-gate/reports/m2b2-acceptance-20260912/browser-report.json
63	0	docs/quality-gate/reports/m2b2-acceptance-20260912/final-gate-results.json
56	0	docs/quality-gate/reports/m2b2-acceptance-20260912/first-gate-results.json
6	0	docs/quality-gate/reports/m2b2-acceptance-20260912/process-cleanup.json
311	0	docs/quality-gate/reports/m2b2-acceptance-20260912/prototype-report.json
69	0	docs/quality-gate/reports/m2b2-acceptance-20260912/red-2026-09-12T06-42-25-255Z.json
91	0	docs/quality-gate/reports/m2b2-acceptance-20260912/red-2026-09-12T06-44-04-723Z.json
95	0	docs/quality-gate/reports/m2b2-acceptance-20260912/red-2026-09-12T06-48-27-416Z.json
106	0	docs/quality-gate/reports/m2b2-acceptance-20260912/red-2026-09-12T06-54-21-593Z.json
106	0	docs/quality-gate/reports/m2b2-acceptance-20260912/red-2026-09-12T06-58-48-777Z.json
38	0	docs/quality-gate/reports/m2b2-acceptance-20260912/red-evidence-index.json
47	0	docs/quality-gate/reports/m2b2-acceptance-20260912/screenshots.json
46	0	docs/quality-gate/reports/m2b2-acceptance-20260912/tested-source-manifest.json
9	0	docs/quality-gate/reports/m2b2-acceptance-20260912/verify-m1-e2e.mjs.log.txt
1	0	docs/quality-gate/reports/m2b2-acceptance-20260912/verify-m1-layer.mjs.log.txt
8	0	docs/quality-gate/reports/m2b2-acceptance-20260912/verify-m2b.mjs.log.txt
20	0	docs/quality-gate/reports/m2b2-acceptance-20260912/verify-m2b2-browser-retry.mjs.log.txt
20	0	docs/quality-gate/reports/m2b2-acceptance-20260912/verify-m2b2-browser.mjs.log.txt
1	0	docs/quality-gate/reports/m2b2-acceptance-20260912/verify-m2b2-domain.mjs.log.txt
1	0	docs/quality-gate/reports/m2b2-acceptance-20260912/verify-m2b2-model.mjs.log.txt
7	0	docs/quality-gate/reports/m2b2-acceptance-20260912/verify-prototype.mjs.log.txt
20	0	docs/quality-gate/reports/m2b2-acceptance-20260912/verify-server-m2.mjs.log.txt
19	0	docs/quality-gate/reports/m2b2-acceptance-20260912/verify-server.mjs.log.txt
115	0	output/pfc-workbench-prototype/m2b2-browser-fixture.mjs
178	0	output/pfc-workbench-prototype/verify-m2b2-browser.mjs
