status	added	deleted	path
M	3	1	AGENTS.md
M	3	3	docs/planning/prototype-v3/19-开发路线图-20260912.md
M	7	7	docs/planning/prototype-v3/20-Codex交接提示词-20260912.md
M	3	1	docs/planning/prototype-v3/25-M2c方案与范围确认-20260912.md
M	65	0	docs/planning/prototype-v3/26-M2c-1存储基础实施与验收-20260912.md
M	5	4	docs/planning/prototype-v3/README.md
A	72	0	docs/quality-gate/reports/m2c-1-storage-20260912.md
A	105	0	docs/quality-gate/reports/m2c-1-storage-20260912/browser-report.json
A	17	0	docs/quality-gate/reports/m2c-1-storage-20260912/final-independent-cleanup.json
A	74	0	docs/quality-gate/reports/m2c-1-storage-20260912/final-results.json
A	9	0	docs/quality-gate/reports/m2c-1-storage-20260912/final-stress-delay.log.txt
A	20	0	docs/quality-gate/reports/m2c-1-storage-20260912/final-stress-repaint.log.txt
A	9	0	docs/quality-gate/reports/m2c-1-storage-20260912/final-verify-m1-e2e.mjs.log.txt
A	1	0	docs/quality-gate/reports/m2c-1-storage-20260912/final-verify-m1-layer.mjs.log.txt
A	8	0	docs/quality-gate/reports/m2c-1-storage-20260912/final-verify-m2b.mjs.log.txt
A	20	0	docs/quality-gate/reports/m2c-1-storage-20260912/final-verify-m2b2-browser.mjs.log.txt
A	1	0	docs/quality-gate/reports/m2c-1-storage-20260912/final-verify-m2b2-domain.mjs.log.txt
A	1	0	docs/quality-gate/reports/m2c-1-storage-20260912/final-verify-m2b2-model.mjs.log.txt
A	13	0	docs/quality-gate/reports/m2c-1-storage-20260912/final-verify-m2c-pg.mjs.log.txt
A	7	0	docs/quality-gate/reports/m2c-1-storage-20260912/final-verify-prototype.mjs.log.txt
A	20	0	docs/quality-gate/reports/m2c-1-storage-20260912/final-verify-server-m2.mjs.log.txt
A	19	0	docs/quality-gate/reports/m2c-1-storage-20260912/final-verify-server.mjs.log.txt
A	9	0	docs/quality-gate/reports/m2c-1-storage-20260912/green-m1-delay.log.txt
A	20	0	docs/quality-gate/reports/m2c-1-storage-20260912/green-m2b2-repaint.log.txt
A	12	0	docs/quality-gate/reports/m2c-1-storage-20260912/pg-first.log.txt
A	392	0	docs/quality-gate/reports/m2c-1-storage-20260912/pg-report.json
A	192	0	docs/quality-gate/reports/m2c-1-storage-20260912/preserved-business-source.json
A	311	0	docs/quality-gate/reports/m2c-1-storage-20260912/prototype-report.json
A	9	0	docs/quality-gate/reports/m2c-1-storage-20260912/red-m1-delay.log.txt
A	20	0	docs/quality-gate/reports/m2c-1-storage-20260912/red-m2b2-repaint.log.txt
A	1	0	docs/quality-gate/reports/m2c-1-storage-20260912/red-pg.log.txt
A	4	0	docs/quality-gate/reports/m2c-1-storage-20260912/red-readiness.log.txt
A	47	0	docs/quality-gate/reports/m2c-1-storage-20260912/screenshots.json
A	68	0	docs/quality-gate/reports/m2c-1-storage-20260912/source-manifest.json
A	9	0	docs/quality-gate/reports/m2c-1-storage-20260912/static-checks.txt
M	5	4	output/pfc-workbench-prototype/README.md
M	31	13	output/pfc-workbench-prototype/verify-m1-e2e.mjs
M	11	1	output/pfc-workbench-prototype/verify-m2b2-browser.mjs
A	29	0	server/scripts/migrate-m2c.mjs
A	57	0	server/sql/m2c/001-persistence-baseline.sql
A	109	0	server/src/persistence/connection.js
A	35	0	server/src/persistence/identifiers.js
A	119	0	server/src/persistence/migrations.js
A	122	0	server/src/persistence/requirements.js
A	26	0	server/src/persistence/transaction.js
A	196	0	server/test-data/m2c-pg-fixture.mjs
A	441	0	server/verify-m2c-pg.mjs
A	49	0	docs/quality-gate/reports/m2c-1-storage-20260912/file-changes.tsv
